zip,lat,lng,city,state_id,state_name,population,density,county_name
01062,42.32188,-72.69278,Florence,MA,Massachusetts,10364.0,220.4,Hampshire
01083,42.20382,-72.19495,Warren,MA,Massachusetts,3094.0,75.8,Worcester
01103,42.104,-72.5921,Springfield,MA,Massachusetts,2332.0,1956.6,Hampden
01104,42.13404,-72.56679,Springfield,MA,Massachusetts,23740.0,1757.3,Hampden
01105,42.09917,-72.57899,Springfield,MA,Massachusetts,11841.0,3678.4,Hampden
01107,42.12129,-72.6055,Springfield,MA,Massachusetts,11562.0,2962.0,Hampden
01108,42.08055,-72.55983,Springfield,MA,Massachusetts,27054.0,2804.1,Hampden
01109,42.11837,-72.54875,Springfield,MA,Massachusetts,30383.0,2155.4,Hampden
01118,42.09476,-72.52533,Springfield,MA,Massachusetts,14830.0,1592.5,Hampden
01119,42.12455,-72.51122,Springfield,MA,Massachusetts,13681.0,1488.0,Hampden
01128,42.09488,-72.48814,Springfield,MA,Massachusetts,2541.0,880.0,Hampden
01129,42.121,-72.48773,Springfield,MA,Massachusetts,6941.0,782.1,Hampden
01199,42.12065,-72.6045,Springfield,MA,Massachusetts,0.0,0.0,Hampden
01201,42.44993,-73.27644,Pittsfield,MA,Massachusetts,44458.0,324.3,Berkshire
01254,42.37982,-73.36545,Richmond,MA,Massachusetts,902.0,23.9,Berkshire
01341,42.50447,-72.70514,Conway,MA,Massachusetts,1929.0,20.9,Franklin
01501,42.19721,-71.84534,Auburn,MA,Massachusetts,16619.0,415.0,Worcester
01516,42.05284,-71.75092,Douglas,MA,Massachusetts,8859.0,93.0,Worcester
01523,42.47971,-71.67844,Lancaster,MA,Massachusetts,7794.0,119.4,Worcester
01602,42.27225,-71.84952,Worcester,MA,Massachusetts,22900.0,1532.9,Worcester
01603,42.24407,-71.84445,Worcester,MA,Massachusetts,19731.0,1688.4,Worcester
01604,42.25151,-71.76772,Worcester,MA,Massachusetts,38191.0,2290.2,Worcester
01605,42.28947,-71.78751,Worcester,MA,Massachusetts,28533.0,1952.9,Worcester
01606,42.31444,-71.79556,Worcester,MA,Massachusetts,19896.0,1295.8,Worcester
01607,42.22747,-71.78872,Worcester,MA,Massachusetts,8167.0,997.0,Worcester
01608,42.26187,-71.80159,Worcester,MA,Massachusetts,4471.0,3857.3,Worcester
01609,42.28645,-71.82895,Worcester,MA,Massachusetts,21628.0,2185.4,Worcester
01610,42.24674,-71.80967,Worcester,MA,Massachusetts,22023.0,4002.8,Worcester
01742,42.46225,-71.36424,Concord,MA,Massachusetts,19121.0,302.1,Middlesex
01773,42.4252,-71.31039,Lincoln,MA,Massachusetts,4884.0,138.4,Middlesex
01803,42.50216,-71.20257,Burlington,MA,Massachusetts,27650.0,911.7,Middlesex
01887,42.56099,-71.16545,Wilmington,MA,Massachusetts,23377.0,531.4,Middlesex
01890,42.4518,-71.1463,Winchester,MA,Massachusetts,22738.0,1455.3,Middlesex
01944,42.58154,-70.76825,Manchester,MA,Massachusetts,5383.0,225.2,Essex
01952,42.84654,-70.86162,Salisbury,MA,Massachusetts,9379.0,235.5,Essex
01970,42.5126,-70.90376,Salem,MA,Massachusetts,43033.0,2048.3,Essex
02019,42.07774,-71.47409,Bellingham,MA,Massachusetts,17108.0,360.1,Norfolk
02021,42.17515,-71.12655,Canton,MA,Massachusetts,23369.0,480.2,Norfolk
02030,42.23663,-71.28418,Dover,MA,Massachusetts,6044.0,154.6,Norfolk
02038,42.08622,-71.41126,Franklin,MA,Massachusetts,33256.0,482.0,Norfolk
02108,42.35767,-71.06505,Boston,MA,Massachusetts,4454.0,12604.8,Suffolk
02109,42.36459,-71.05298,Boston,MA,Massachusetts,4190.0,9335.2,Suffolk
02110,42.35826,-71.05175,Boston,MA,Massachusetts,2314.0,4931.3,Suffolk
02111,42.35007,-71.05911,Boston,MA,Massachusetts,7926.0,11319.2,Suffolk
02113,42.36542,-71.0554,Boston,MA,Massachusetts,6966.0,26817.5,Suffolk
02114,42.36316,-71.06732,Boston,MA,Massachusetts,13335.0,11472.1,Suffolk
02115,42.34109,-71.09456,Boston,MA,Massachusetts,28652.0,15628.1,Suffolk
02116,42.35062,-71.07564,Boston,MA,Massachusetts,23157.0,14180.3,Suffolk
02118,42.3382,-71.07074,Boston,MA,Massachusetts,28262.0,9952.5,Suffolk
02138,42.38004,-71.13464,Cambridge,MA,Massachusetts,38504.0,5424.3,Middlesex
02139,42.36253,-71.10302,Cambridge,MA,Massachusetts,38715.0,9595.7,Middlesex
02140,42.39329,-71.13329,Cambridge,MA,Massachusetts,21490.0,7185.5,Middlesex
02141,42.36997,-71.08268,Cambridge,MA,Massachusetts,14522.0,8709.4,Middlesex
02142,42.36195,-71.08196,Cambridge,MA,Massachusetts,3676.0,5106.3,Middlesex
02163,42.36636,-71.12076,Boston,MA,Massachusetts,2621.0,10209.2,Suffolk
02199,42.34747,-71.08202,Boston,MA,Massachusetts,1157.0,7805.7,Suffolk
02203,42.3605,-71.05896,Boston,MA,Massachusetts,30.0,365.1,Suffolk
02210,42.34781,-71.03905,Boston,MA,Massachusetts,3715.0,1492.7,Suffolk
02215,42.34778,-71.10287,Boston,MA,Massachusetts,25770.0,13006.0,Suffolk
02339,42.12239,-70.85666,Hanover,MA,Massachusetts,14459.0,359.3,Plymouth
02420,42.45633,-71.21668,Lexington,MA,Massachusetts,14718.0,862.7,Middlesex
02421,42.43853,-71.23999,Lexington,MA,Massachusetts,18622.0,730.1,Middlesex
02472,42.37,-71.17725,Watertown,MA,Massachusetts,35518.0,3397.1,Middlesex
02474,42.42026,-71.15651,Arlington,MA,Massachusetts,27878.0,3528.6,Middlesex
02476,42.41624,-71.17518,Arlington,MA,Massachusetts,17426.0,3214.7,Middlesex
02770,41.75849,-70.84084,Rochester,MA,Massachusetts,5407.0,64.9,Plymouth
02809,41.68271,-71.2694,Bristol,RI,Rhode Island,22172.0,872.2,Bristol
02828,41.87799,-71.55938,Greenville,RI,Rhode Island,7592.0,614.3,Providence
02858,41.96346,-71.64831,Oakland,RI,Rhode Island,774.0,517.0,Providence
02864,41.97039,-71.41978,Cumberland,RI,Rhode Island,34797.0,508.5,Providence
02865,41.91265,-71.44847,Lincoln,RI,Rhode Island,17667.0,409.7,Providence
02885,41.72826,-71.26282,Warren,RI,Rhode Island,10461.0,658.7,Bristol
02898,41.51526,-71.6757,Wyoming,RI,Rhode Island,1289.0,43.1,Washington
02915,41.77759,-71.35015,Riverside,RI,Rhode Island,16660.0,1160.9,Providence
03032,42.9906,-71.34379,Auburn,NH,New Hampshire,5446.0,83.1,Rockingham
03048,42.74824,-71.76183,Greenville,NH,New Hampshire,3515.0,45.9,Hillsborough
03079,42.79023,-71.22023,Salem,NH,New Hampshire,29234.0,454.7,Rockingham
03084,42.82853,-71.85496,Temple,NH,New Hampshire,1264.0,22.1,Hillsborough
03101,42.98892,-71.46588,Manchester,NH,New Hampshire,2953.0,1473.3,Hillsborough
03102,43.00798,-71.49129,Manchester,NH,New Hampshire,33003.0,1408.9,Hillsborough
03103,42.95352,-71.44429,Manchester,NH,New Hampshire,36938.0,1462.8,Hillsborough
03104,43.00934,-71.44145,Manchester,NH,New Hampshire,33071.0,1544.6,Hillsborough
03109,42.96625,-71.40168,Manchester,NH,New Hampshire,10600.0,555.9,Hillsborough
03222,43.6275,-71.78286,Bristol,NH,New Hampshire,5896.0,31.3,Grafton
03235,43.44838,-71.67183,Franklin,NH,New Hampshire,8762.0,113.8,Merrimack
03251,44.08544,-71.57272,Lincoln,NH,New Hampshire,945.0,2.4,Grafton
03257,43.41691,-71.9906,New London,NH,New Hampshire,4495.0,75.8,Merrimack
03263,43.29468,-71.311,Pittsfield,NH,New Hampshire,4112.0,65.6,Merrimack
03268,43.38648,-71.75656,Salisbury,NH,New Hampshire,1270.0,16.2,Merrimack
03279,43.94318,-71.88139,Warren,NH,New Hampshire,765.0,6.5,Grafton
03280,43.18298,-72.08925,Washington,NH,New Hampshire,1199.0,10.2,Sullivan
03284,43.49281,-72.03075,Springfield,NH,New Hampshire,832.0,8.3,Sullivan
03301,43.22434,-71.54337,Concord,NH,New Hampshire,33162.0,259.2,Merrimack
03303,43.29814,-71.67194,Concord,NH,New Hampshire,15849.0,90.6,Merrimack
03465,42.82723,-72.19011,Troy,NH,New Hampshire,2002.0,43.7,Cheshire
03470,42.77883,-72.34417,Winchester,NH,New Hampshire,5155.0,22.8,Cheshire
03584,44.48489,-71.54566,Lancaster,NH,New Hampshire,3673.0,24.0,Coos
03755,43.71777,-72.18929,Hanover,NH,New Hampshire,10595.0,113.4,Grafton
03766,43.63467,-72.23724,Lebanon,NH,New Hampshire,9388.0,114.1,Grafton
03771,44.28502,-72.00934,Monroe,NH,New Hampshire,942.0,16.5,Grafton
03818,43.97359,-71.25003,Conway,NH,New Hampshire,3845.0,17.4,Carroll
03820,43.18879,-70.88678,Dover,NH,New Hampshire,31629.0,440.1,Strafford
03824,43.11744,-70.91946,Durham,NH,New Hampshire,16481.0,283.9,Strafford
03839,43.26199,-70.98373,Rochester,NH,New Hampshire,4048.0,186.5,Strafford
03846,44.1853,-71.19065,Jackson,NH,New Hampshire,884.0,5.3,Carroll
03849,43.90044,-71.13378,Madison,NH,New Hampshire,1478.0,22.8,Carroll
03867,43.30327,-70.98691,Rochester,NH,New Hampshire,21591.0,281.8,Strafford
03868,43.32027,-70.94164,Rochester,NH,New Hampshire,5316.0,271.8,Strafford
04027,43.40332,-70.91154,Lebanon,ME,Maine,6270.0,44.0,York
04055,43.9702,-70.61545,Naples,ME,Maine,3901.0,48.4,Cumberland
04073,43.41338,-70.74238,Sanford,ME,Maine,16452.0,169.8,York
04101,43.66239,-70.25838,Portland,ME,Maine,17236.0,3320.6,Cumberland
04102,43.65872,-70.30614,Portland,ME,Maine,17612.0,1132.9,Cumberland
04103,43.69379,-70.29088,Portland,ME,Maine,30787.0,1157.1,Cumberland
04109,43.66732,-70.19984,Portland,ME,Maine,70.0,21.3,Cumberland
04210,44.0849,-70.24922,Auburn,ME,Maine,23187.0,151.0,Androscoggin
04221,44.46028,-70.29981,Canton,ME,Maine,884.0,10.6,Oxford
04222,43.96439,-70.12955,Durham,ME,Maine,3944.0,39.8,Androscoggin
04237,44.49665,-70.72564,Hanover,ME,Maine,174.0,9.5,Oxford
04240,44.09148,-70.16807,Lewiston,ME,Maine,36095.0,408.1,Androscoggin
04351,44.33132,-69.86104,Manchester,ME,Maine,2539.0,46.1,Kennebec
04357,44.12371,-69.82882,Richmond,ME,Maine,3399.0,43.1,Sagadahoc
04401,44.84923,-68.84479,Bangor,ME,Maine,44536.0,171.6,Penobscot
04408,44.99135,-68.23072,Aurora,ME,Maine,167.0,0.5,Hancock
04417,45.23486,-68.37908,Burlington,ME,Maine,361.0,2.2,Penobscot
04419,44.79688,-69.0314,Carmel,ME,Maine,2799.0,29.6,Penobscot
04422,45.07101,-69.03409,Charleston,ME,Maine,1514.0,14.4,Penobscot
04441,45.89602,-69.47534,Greenville,ME,Maine,1613.0,1.1,Piscataquis
04451,45.61088,-68.21044,Kingman,ME,Maine,226.0,1.2,Penobscot
